n,log_hit_rate_A,log_hit_rate_B,hit_rate_A,hit_rate_B
86,-131.92035395206972,-131.92035395206972,5.1017388958382925e-58,5.1017388958382925e-58
87,-133.93039015870588,-133.93039015870588,6.835504836479623e-59,6.835504836479623e-59
88,-135.94610806125846,-135.94610806125846,9.106582633919934e-60,9.106582633919934e-60
89,-137.96744382314856,-137.96744382314856,1.2064253807787629e-60,1.2064253807787629e-60
90,-139.99433502629932,-139.99433502629932,1.589398505668311e-61,1.589398505668311e-61
91,-142.02672062437594,-142.02672062437594,2.082470941405975e-62,2.082470941405975e-62
92,-144.06454089805885,-144.06454089805885,2.713718841866552e-63,2.713718841866552e-63
93,-146.10773741223974,-146.10773741223974,3.517352371416785e-64,3.517352371416785e-64
94,-148.15625297503942,-148.15625297503942,4.534786796551052e-65,4.534786796551052e-65
95,-150.21003159855087,-150.21003159855087,5.815835984278503e-66,5.815835984278503e-66
96,-152.2690184612178,-152.2690184612178,7.420027544604616e-67,7.420027544604616e-67
97,-154.3331598717648,-154.3331598717648,9.418034846748773e-68,9.418034846748773e-68
98,-156.40240323459892,-156.40240323459892,1.1893216338552863e-68,1.1893216338552863e-68
99,-158.47669701660993,-158.47669701660993,1.4943247013029521e-69,1.4943247013029521e-69
100,-160.55599071529753,-160.55599071529753,1.8681820538376488e-70,1.8681820538376488e-70
